POL_ID;INS_AGE;INS_GENDER;POL_EFF_DT;POL_TRMNT_DT;CAR_USE;CAR_TYPE;INS_AREA;CLM_FREQ; TOTAL_CLM_AMNT 
GDF0000046667;78;F;07/09/00;00/01/00;Commercial;Pickup;Urban;1; 244.000 
SDF0000046668;41;F;20/04/00;00/01/00;Private;Minivan;Urban;4; 320.000 
KDF0000046669;43;F;01/09/00;00/01/00;Private;Pickup;Urban;1; 646.000 
ADF0000046670;79;F;18/01/00;00/01/00;Private;Minivan;Urban;1; 626.000 
KDF0000046671;66;M;28/05/00;00/01/00;Commercial;Truck;Urban;1; 490.000 
GDF0000046672;59;M;06/06/00;00/01/00;Private;Minivan;Urban;1; 351.000 
TDF0000046673;80;M;20/12/00;00/01/00;Private;SUV;Urban;1; 125.000 
TDF0000046674;28;M;27/10/00;00/01/00;Commercial;SUV;Urban;1; 132.000 
GDF0000046675;46;M;29/03/00;00/01/00;Private;Pickup;Urban;1; 463.000 
ADF0000046676;28;F;12/08/00;00/01/00;Commercial;SUV;Urban;1; 295.000 
ADF0000046677;29;M;29/11/00;00/01/00;Private;Minivan;Urban;1; 151.000 
ADF0000046678;39;F;25/01/00;31/05/01;Commercial;Truck;Urban;1; 58.000 
KDF0000046679;48;F;25/11/00;04/07/01;Private;SUV;Urban;1; 16.000 
SDF0000046680;55;M;15/03/00;00/01/00;Private;SUV;Urban;1; 39.000 
ADF0000046681;37;F;17/10/00;00/01/00;Private;Minivan;Urban;1; 448.000 
SDF0000046682;59;F;13/09/00;00/01/00;Private;Minivan;Urban;1; 90.000 
TDF0000046683;51;M;06/06/00;00/01/00;Private;Pickup;Urban;1; 339.000 
SDF0000046684;63;F;06/01/00;00/01/00;Commercial;Minivan;Urban;1; 241.000 
TDF0000046685;54;F;11/03/00;00/01/00;Commercial;Pickup;Urban;1; 315.000 
ADF0000046686;74;M;10/03/00;00/01/00;Private;SUV;Urban;1; 627.000 
ADF0000046687;28;F;09/04/00;00/01/00;Commercial;Pickup;Urban;1; 559.000 
TDF0000046688;78;F;09/05/00;00/01/00;Private;SUV;Urban;1; 350.000 
TDF0000046689;48;F;05/07/00;17/10/01;Private;SUV;Urban;1; 12.000 
TDF0000046690;61;M;16/04/00;00/01/00;Private;Pickup;Rural;1; 297.000 
ADF0000046691;41;F;04/01/00;00/01/00;Commercial;Pickup;Rural;1; 561.000 
ADF0000046692;38;F;07/01/00;00/01/00;Commercial;Sports Car;Urban;4; 340.000 
SDF0000046693;37;M;16/11/00;20/08/01;Commercial;Pickup;Rural;1; 117.000 
SDF0000046694;77;F;06/01/00;00/01/00;Private;Pickup;Urban;4; 365.000 
ADF0000046695;45;F;19/07/00;00/01/00;Commercial;Pickup;Urban;1; 403.000 
KDF0000046696;35;M;19/12/00;00/01/00;Commercial;Truck;Rural;1; 484.000 
GDF0000046697;48;M;27/04/00;00/01/00;Private;Minivan;Urban;1; 233.000 
GDF0000046698;76;F;15/04/00;00/01/00;Commercial;Minivan;Urban;1; 352.000 
ADF0000046699;28;F;28/03/00;00/01/00;Commercial;SUV;Rural;1; 468.000 
KDF0000046700;39;F;11/12/00;00/01/00;Private;SUV;Urban;1; 542.000 
SDF0000046701;31;M;03/11/00;27/07/01;Commercial;Minivan;Urban;1; 33.000 
ADF0000046702;75;M;22/04/00;00/01/00;Private;Sports Car;Urban;1; 652.000 
KDF0000046703;50;F;12/10/00;00/01/00;Private;SUV;Urban;1; 410.000 
SDF0000046704;74;M;20/10/00;00/01/00;Commercial;Sports Car;Rural;1; 422.000 
ADF0000046705;30;M;19/12/00;00/01/00;Commercial;Pickup;Urban;1; 98.000 
GDF0000046706;34;M;08/03/00;00/01/00;Private;SUV;Urban;1; 587.000 
KDF0000046707;20;F;05/08/00;00/01/00;Commercial;SUV;Urban;1; 398.000 
TDF0000046708;61;M;12/01/00;00/01/00;Private;Minivan;Urban;1; 547.000 
KDF0000046709;67;M;28/04/00;00/01/00;Commercial;Van;Urban;1; 502.000 
GDF0000046710;22;M;24/10/00;00/01/00;Private;SUV;Rural;1; 673.000 
ADF0000046711;64;M;17/11/00;00/01/00;Private;Sports Car;Rural;1; 697.000 
ADF0000046712;51;M;28/11/00;00/01/00;Commercial;Truck;Urban;1; 429.000 
TDF0000046713;42;F;16/02/00;04/06/01;Private;SUV;Urban;1; 594.000 
ADF0000046714;26;F;17/06/00;00/01/00;Commercial;Truck;Urban;1; 482.000 
SDF0000046715;38;F;29/02/00;00/01/00;Commercial;Minivan;Urban;1; 679.000 
ADF0000046716;25;F;09/05/00;00/01/00;Private;Sports Car;Rural;1; 178.000 
GDF0000046717;63;F;02/02/00;18/12/00;Private;SUV;Urban;1; 591.000 
KDF0000046718;40;M;19/11/00;00/01/00;Private;Pickup;Urban;1; 141.000 
TDF0000046719;39;F;22/12/00;00/01/00;Commercial;Van;Urban;1; 370.000 
ADF0000046720;56;F;22/02/00;27/11/01;Commercial;Van;Urban;0; 657.000 
TDF0000046721;27;M;28/10/00;00/01/00;Private;Minivan;Urban;1; 98.000 
SDF0000046722;30;F;26/01/00;00/01/00;Private;Minivan;Rural;1; 294.000 
KDF0000046723;31;M;20/02/00;00/01/00;Private;SUV;Urban;1; 37.000 
ADF0000046724;80;M;11/03/00;00/01/00;Commercial;Pickup;Urban;1; 618.000 
TDF0000046725;71;M;22/11/00;00/01/00;Private;SUV;Urban;7; 703.000 
ADF0000046726;30;F;13/08/00;00/01/00;Commercial;Van;Urban;7; 609.000 
ADF0000046727;57;M;29/08/00;00/01/00;Private;Minivan;Urban;1; 310.000 
SDF0000046728;45;M;22/10/00;00/01/00;Private;Sports Car;Urban;1; 574.000 
TDF0000046729;55;M;29/05/00;00/01/00;Private;Minivan;Urban;1; 258.000 
ADF0000046730;31;F;09/05/00;00/01/00;Commercial;Truck;Urban;1; 341.000 
ADF0000046731;53;M;30/11/00;00/01/00;Private;Minivan;Rural;1; 679.000 
KDF0000046732;60;F;11/12/00;00/01/00;Private;SUV;Urban;7; 76.000 
SDF0000046733;65;M;13/06/00;00/01/00;Private;SUV;Urban;1; 418.000 
SDF0000046734;19;F;14/09/00;00/01/00;Private;Minivan;Urban;1; 665.000 
ADF0000046735;44;M;24/09/00;08/12/01;Private;Sports Car;Rural;1; 674.000 
GDF0000046736;56;M;22/12/00;00/01/00;Private;Minivan;Urban;1; 387.000 
GDF0000046737;46;M;06/06/00;03/12/01;Private;SUV;Urban;1; 362.000 
SDF0000046738;62;F;15/11/00;00/01/00;Commercial;Truck;Urban;1; 167.000 
SDF0000046739;29;M;28/02/00;00/01/00;Commercial;Minivan;Rural;1; 712.000 
GDF0000046740;54;F;08/04/00;00/01/00;Commercial;Minivan;Urban;1; 671.000 
TDF0000046741;55;F;04/12/00;00/01/00;Commercial;Truck;Rural;1; 14.000 
KDF0000046742;19;F;11/07/00;00/01/00;Private;SUV;Rural;1; 509.000 
ADF0000046743;49;F;09/03/00;00/01/00;Commercial;Pickup;Urban;1; 152.000 
SDF0000046744;44;M;16/08/00;00/01/00;Commercial;Pickup;Urban;1; 208.000 
GDF0000046745;71;M;13/03/00;00/01/00;Private;SUV;Urban;1; 450.000 
ADF0000046746;46;F;29/12/00;00/01/00;Private;Sports Car;Urban;1; 453.000 
TDF0000046747;28;M;26/09/00;00/01/00;Private;Pickup;Urban;1; 591.000 
TDF0000046748;76;M;24/11/00;00/01/00;Private;Pickup;Urban;1; 681.000 
TDF0000046749;24;M;06/09/00;00/01/00;Commercial;Truck;Urban;7; 107.000 
GDF0000046750;52;F;21/02/00;00/01/00;Private;Sports Car;Urban;1; 190.000 
SDF0000046751;22;F;19/12/00;00/01/00;Private;Minivan;Urban;1; 33.000 
GDF0000046752;66;F;08/08/00;00/01/00;Commercial;Minivan;Rural;1; 556.000 
GDF0000046753;59;F;20/10/00;00/01/00;Private;SUV;Urban;1; 668.000 
KDF0000046754;66;F;02/05/00;00/01/00;Private;Van;Urban;1; 582.000 
GDF0000046755;22;M;08/09/00;18/09/01;Commercial;Minivan;Urban;1; 233.000 
TDF0000046756;41;F;24/11/00;00/01/00;Private;Minivan;Urban;1; 388.000 
TDF0000046757;42;M;12/08/00;00/01/00;Commercial;Van;Urban;1; 413.000 
ADF0000046758;73;F;28/06/00;04/05/01;Private;Minivan;Urban;1; 10.000 
KDF0000046759;24;F;19/05/00;00/01/00;Commercial;Van;Urban;1; 609.000 
TDF0000046760;36;F;04/04/00;00/01/00;Private;Minivan;Urban;1; 412.000 
TDF0000046761;24;F;01/05/00;00/01/00;Private;Pickup;Urban;1; 589.000 
ADF0000046762;41;F;24/09/00;00/01/00;Private;SUV;Urban;1; 149.000 
KDF0000046763;67;M;12/08/00;00/01/00;Private;Sports Car;Urban;1; 351.000 
ADF0000046764;48;F;18/08/00;00/01/00;Commercial;Truck;Urban;1; 170.000 
TDF0000046765;44;M;25/03/00;00/01/00;Private;SUV;Urban;1; 174.000 
ADF0000046766;77;M;12/09/00;00/01/00;Private;Pickup;Urban;4; 222.000 
SDF0000046767;53;F;27/08/00;00/01/00;Private;Pickup;Urban;1; 446.000 
SDF0000046768;49;M;18/12/00;06/04/01;Private;SUV;Rural;1; 289.000 
KDF0000046769;34;M;18/03/00;00/01/00;Commercial;Pickup;Urban;7; 704.000 
ADF0000046770;55;M;05/02/00;00/01/00;Private;Minivan;Urban;1; 718.000 
KDF0000046771;65;M;07/03/00;00/01/00;Commercial;Truck;Urban;1; 264.000 
GDF0000046772;24;F;07/08/00;00/01/00;Private;SUV;Urban;1; 705.000 
TDF0000046773;20;M;31/07/00;12/09/01;Private;Pickup;Rural;1; 156.000 
GDF0000046774;23;F;29/08/00;00/01/00;Private;Sports Car;Urban;7; 627.000 
TDF0000046775;38;M;17/12/00;00/01/00;Private;Minivan;Urban;1; 567.000 
SDF0000046776;54;M;25/12/00;00/01/00;Private;Minivan;Urban;1; 239.000 
ADF0000046777;68;F;22/12/00;00/01/00;Private;SUV;Urban;7; 26.000 
ADF0000046778;61;F;14/02/00;00/01/00;Commercial;Van;Urban;7; 231.000 
SDF0000046779;66;M;24/07/00;00/01/00;Private;Minivan;Urban;7; 175.000 
TDF0000046780;38;M;31/10/00;00/01/00;Commercial;Pickup;Rural;1; 670.000 
ADF0000046781;20;M;19/07/00;00/01/00;Private;SUV;Rural;1; 587.000 
TDF0000046782;29;F;05/07/00;00/01/00;Commercial;SUV;Urban;1; 522.000 
ADF0000046783;77;F;06/05/00;00/01/00;Private;Minivan;Urban;1; 273.000 
TDF0000046784;67;F;29/05/00;00/01/00;Private;SUV;Urban;1; 670.000 
SDF0000046785;43;F;16/12/00;00/01/00;Private;Van;Urban;1; 529.000 
ADF0000046786;18;F;19/06/00;00/01/00;Private;Minivan;Urban;1; 283.000 
TDF0000046787;29;M;13/06/00;00/01/00;Private;Minivan;Urban;1; 593.000 
GDF0000046788;80;M;23/11/00;00/01/00;Private;SUV;Urban;7; 310.000 
GDF0000046789;54;M;26/09/00;00/01/00;Commercial;Truck;Urban;1; 192.000 
GDF0000046790;23;F;28/08/00;00/01/00;Private;Minivan;Urban;1; 546.000 
SDF0000046791;20;M;14/08/00;00/01/00;Commercial;Truck;Urban;1; 513.000 
GDF0000046792;66;F;17/09/00;00/01/00;Commercial;Pickup;Urban;1; 190.000 
TDF0000046793;72;F;24/10/00;00/01/00;Private;SUV;Urban;1; 678.000 
ADF0000046794;29;M;30/05/00;00/01/00;Private;SUV;Urban;1; 505.000 
TDF0000046795;52;F;04/12/00;26/12/01;Private;Minivan;Rural;1; 13.000 
KDF0000046796;30;F;03/02/00;00/01/00;Commercial;Minivan;Urban;1; 95.000 
GDF0000046797;43;F;26/10/00;30/05/02;Private;Minivan;Urban;0; 667.000 
KDF0000046798;35;F;16/05/00;00/01/00;Private;SUV;Urban;4; 488.000 
SDF0000046799;50;M;25/10/00;00/01/00;Commercial;Minivan;Rural;1; 397.000 
ADF0000046800;47;M;10/12/00;00/01/00;Commercial;Truck;Urban;1; 53.000 
ADF0000046801;39;F;11/11/00;00/01/00;Private;Minivan;Urban;1; 128.000 
TDF0000046802;18;M;25/07/00;00/01/00;Private;SUV;Urban;1; 718.000 
TDF0000046803;43;M;29/03/00;00/01/00;Private;Sports Car;Rural;1; 537.000 
KDF0000046804;41;F;23/12/00;00/01/00;Private;Sports Car;Urban;1; 683.000 
KDF0000046805;51;F;08/06/00;00/01/00;Private;Minivan;Rural;1; 277.000 
KDF0000046806;37;F;10/01/00;00/01/00;Private;SUV;Urban;1; 488.000 
TDF0000046807;79;F;18/11/00;00/01/00;Commercial;Truck;Urban;1; 25.000 
ADF0000046808;42;F;28/10/00;00/01/00;Private;Minivan;Urban;1; 679.000 
GDF0000046809;74;F;17/02/00;00/01/00;Private;Minivan;Urban;1; 18.000 
TDF0000046810;71;F;05/11/00;00/01/00;Private;SUV;Urban;1; 246.000 
TDF0000046811;69;F;01/03/00;30/04/01;Private;SUV;Urban;1; 478.000 
TDF0000046812;73;F;10/10/00;00/01/00;Commercial;Pickup;Rural;1; 73.000 
SDF0000046813;24;F;05/01/00;09/09/01;Private;Minivan;Urban;0; 269.000 
KDF0000046814;48;F;07/06/00;08/09/01;Commercial;Truck;Urban;1; 636.000 
TDF0000046815;41;M;01/10/00;00/01/00;Commercial;SUV;Rural;1; 478.000 
ADF0000046816;80;F;28/01/00;02/07/02;Private;SUV;Urban;0; 426.000 
KDF0000046817;45;M;23/03/00;00/01/00;Commercial;SUV;Urban;1; 345.000 
ADF0000046818;26;M;25/04/00;00/01/00;Private;Van;Urban;1; 150.000 
ADF0000046819;63;F;13/02/00;00/01/00;Private;SUV;Urban;1; 374.000 
ADF0000046820;77;F;04/02/00;00/01/00;Commercial;Truck;Urban;1; 453.000 
KDF0000046821;56;M;12/08/00;00/01/00;Commercial;SUV;Urban;1; 106.000 
SDF0000046822;61;M;07/02/00;00/01/00;Private;SUV;Urban;1; 116.000 
KDF0000046823;62;F;08/05/00;00/01/00;Private;SUV;Urban;1; 595.000 
GDF0000046824;25;M;14/06/00;00/01/00;Private;SUV;Urban;1; 522.000 
TDF0000046825;51;F;10/02/00;00/01/00;Private;SUV;Urban;1; 590.000 
TDF0000046826;54;F;01/09/00;00/01/00;Commercial;Truck;Urban;1; 147.000 
GDF0000046827;40;M;16/10/00;00/01/00;Private;Minivan;Urban;1; 634.000 
ADF0000046828;68;M;27/10/00;00/01/00;Commercial;Minivan;Rural;1; 558.000 
ADF0000046829;73;M;27/06/00;00/01/00;Private;Sports Car;Urban;1; 45.000 
ADF0000046830;58;M;13/01/00;00/01/00;Private;SUV;Urban;1; 522.000 
TDF0000046831;57;F;28/04/00;00/01/00;Commercial;Truck;Urban;1; 451.000 
ADF0000046832;72;M;26/05/00;00/01/00;Private;SUV;Urban;1; 49.000 
GDF0000046833;33;F;03/10/00;25/12/01;Commercial;SUV;Urban;1; 607.000 
KDF0000046834;22;F;20/10/00;00/01/00;Private;SUV;Urban;1; 340.000 
GDF0000046835;73;M;16/07/00;00/01/00;Private;Sports Car;Urban;1; 685.000 
GDF0000046836;57;F;16/04/00;00/01/00;Commercial;Pickup;Urban;7; 10.000 
GDF0000046837;32;M;24/12/00;00/01/00;Private;Van;Urban;1; 530.000 
ADF0000046838;64;F;15/02/00;00/01/00;Commercial;Minivan;Urban;1; 244.000 
TDF0000046839;32;F;24/11/00;00/01/00;Commercial;Pickup;Rural;1; 539.000 
GDF0000046840;28;F;30/11/00;00/01/00;Commercial;SUV;Rural;1; 118.000 
GDF0000046841;54;F;03/11/00;00/01/00;Commercial;Pickup;Rural;1; 257.000 
SDF0000046842;64;M;03/08/00;00/01/00;Private;Sports Car;Urban;4; 496.000 
GDF0000046843;80;M;24/01/00;00/01/00;Private;Sports Car;Urban;1; 266.000 
SDF0000046844;33;F;04/08/00;09/06/03;Private;Sports Car;Urban;0; 345.000 
GDF0000046845;67;F;11/03/00;17/04/01;Commercial;Truck;Rural;1; 588.000 
GDF0000046846;58;M;16/03/00;00/01/00;Private;Pickup;Urban;1; 13.000 
ADF0000046847;19;M;03/04/00;00/01/00;Private;SUV;Urban;4; 550.000 
TDF0000046848;30;F;15/10/00;23/10/01;Private;Minivan;Urban;1; 132.000 
GDF0000046849;25;F;25/12/00;00/01/00;Commercial;SUV;Rural;1; 191.000 
GDF0000046850;38;F;29/12/00;00/01/00;Private;Minivan;Urban;1; 149.000 
SDF0000046851;66;M;22/01/00;00/01/00;Private;Minivan;Urban;1; 606.000 
SDF0000046852;65;M;07/01/00;14/05/01;Private;Minivan;Rural;1; 131.000 
GDF0000046853;26;F;17/05/00;00/01/00;Commercial;SUV;Urban;1; 466.000 
TDF0000046854;33;F;15/08/00;00/01/00;Private;Minivan;Urban;1; 199.000 
SDF0000046855;49;M;08/04/00;00/01/00;Private;SUV;Urban;1; 476.000 
TDF0000046856;48;M;05/03/00;00/01/00;Commercial;Minivan;Urban;1; 621.000 
GDF0000046857;34;F;09/08/00;00/01/00;Private;Van;Urban;1; 304.000 
SDF0000046858;53;F;01/10/00;14/08/01;Commercial;SUV;Urban;0; 4.000 
KDF0000046859;68;M;25/01/00;00/01/00;Commercial;Van;Urban;1; 210.000 
SDF0000046860;29;M;08/03/00;06/10/01;Commercial;Minivan;Urban;0; 325.000 
KDF0000046861;52;F;13/01/00;00/01/00;Commercial;Pickup;Rural;1; 624.000 
TDF0000046862;41;M;28/07/00;00/01/00;Private;Minivan;Urban;1; 16.000 
ADF0000046863;23;M;17/01/00;00/01/00;Private;Van;Rural;1; 594.000 
ADF0000046864;42;F;27/05/00;00/01/00;Commercial;Sports Car;Urban;1; 156.000 
SDF0000046865;79;F;10/03/00;00/01/00;Private;Minivan;Urban;1; 64.000 
KDF0000046866;32;F;18/02/00;00/01/00;Private;Sports Car;Rural;1; 116.000 
GDF0000046867;68;M;23/04/00;00/01/00;Private;Minivan;Urban;1; 43.000 
GDF0000046868;65;M;26/04/00;00/01/00;Commercial;Minivan;Urban;1; 629.000 
ADF0000046869;68;F;05/03/00;00/01/00;Commercial;Pickup;Urban;1; 556.000 
KDF0000046870;20;M;18/01/00;00/01/00;Commercial;Pickup;Urban;1; 129.000 
TDF0000046871;44;F;30/06/00;07/07/01;Private;Sports Car;Urban;1; 107.000 
SDF0000046872;21;M;15/12/00;00/01/00;Commercial;SUV;Urban;1; 452.000 
KDF0000046873;41;F;22/10/00;00/01/00;Commercial;SUV;Rural;1; 630.000 
ADF0000046874;65;F;14/03/00;00/01/00;Private;Minivan;Rural;1; 322.000 
TDF0000046875;69;F;09/10/00;00/01/00;Private;SUV;Rural;1; 349.000 
ADF0000046876;79;F;10/06/00;15/05/01;Private;Minivan;Urban;1; 37.000 
SDF0000046877;42;M;03/10/00;00/01/00;Private;Pickup;Rural;1; 396.000 
KDF0000046878;76;F;02/09/00;10/12/01;Private;Minivan;Urban;1; 417.000 
SDF0000046879;18;M;24/01/00;12/10/01;Private;Minivan;Urban;1; 376.000 
ADF0000046880;28;F;19/03/00;01/11/01;Private;Pickup;Urban;1; 50.000 
SDF0000046881;27;F;30/06/00;00/01/00;Commercial;Van;Urban;4; 460.000 
TDF0000046882;56;M;18/04/00;05/05/01;Private;SUV;Urban;1; 461.000 
KDF0000046883;40;F;14/06/00;11/12/01;Private;Sports Car;Urban;1; 243.000 
GDF0000046884;34;M;08/11/00;00/01/00;Commercial;Pickup;Urban;4; 649.000 
TDF0000046885;45;F;01/10/00;00/01/00;Commercial;SUV;Urban;1; 563.000 
KDF0000046886;55;F;10/08/00;00/01/00;Private;Minivan;Rural;1; 199.000 
KDF0000046887;34;F;05/07/00;00/01/00;Private;Sports Car;Urban;1; 675.000 
SDF0000046888;73;M;02/07/00;00/01/00;Commercial;Pickup;Urban;1; 484.000 
KDF0000046889;38;M;19/03/00;26/11/01;Private;Minivan;Urban;0; 404.000 
GDF0000046890;65;F;15/11/00;00/01/00;Commercial;SUV;Rural;1; 473.000 
GDF0000046891;31;F;05/11/00;00/01/00;Private;Minivan;Urban;1; 195.000 
TDF0000046892;39;M;16/08/00;00/01/00;Private;SUV;Rural;1; 411.000 
TDF0000046893;69;F;22/01/00;00/01/00;Private;Sports Car;Rural;1; 301.000 
KDF0000046894;49;F;19/12/00;00/01/00;Private;Sports Car;Urban;1; 353.000 
KDF0000046895;41;M;10/11/00;00/01/00;Commercial;Van;Urban;1; 77.000 
GDF0000046896;33;M;13/01/00;00/01/00;Commercial;Pickup;Urban;1; 626.000 
GDF0000046897;37;M;14/06/00;00/01/00;Private;Minivan;Urban;1; 579.000 
GDF0000046898;64;M;27/04/00;00/01/00;Commercial;Sports Car;Urban;7; 166.000 
ADF0000046899;69;M;12/12/00;00/01/00;Private;Pickup;Urban;1; 412.000 
ADF0000046900;44;M;11/03/00;00/01/00;Private;Minivan;Urban;1; 617.000 
GDF0000046901;72;F;28/02/00;00/01/00;Private;Van;Urban;1; 491.000 
TDF0000046902;41;M;30/11/00;00/01/00;Private;Minivan;Urban;1; 320.000 
KDF0000046903;64;M;09/07/00;00/01/00;Private;Minivan;Urban;1; 527.000 
GDF0000046904;44;F;05/02/00;00/01/00;Commercial;Truck;Urban;1; 657.000 
GDF0000046905;47;M;21/11/00;00/01/00;Private;SUV;Rural;1; 613.000 
TDF0000046906;72;F;02/08/00;00/01/00;Private;Van;Urban;1; 590.000 
TDF0000046907;59;M;20/05/00;00/01/00;Commercial;SUV;Urban;1; 68.000 
SDF0000046908;71;F;19/04/00;00/01/00;Private;Minivan;Urban;1; 466.000 
ADF0000046909;43;M;29/11/00;00/01/00;Private;Sports Car;Urban;1; 283.000 
SDF0000046910;21;M;11/04/00;00/01/00;Commercial;Minivan;Urban;1; 387.000 
SDF0000046911;27;F;18/05/00;00/01/00;Commercial;Minivan;Urban;1; 652.000 
GDF0000046912;42;F;18/07/00;00/01/00;Private;Minivan;Urban;4; 406.000 
GDF0000046913;63;F;12/07/00;00/01/00;Private;SUV;Urban;1; 620.000 
KDF0000046914;23;F;27/06/00;00/01/00;Commercial;SUV;Urban;1; 709.000 
TDF0000046915;67;M;15/01/00;00/01/00;Private;SUV;Urban;1; 572.000 
SDF0000046916;25;F;07/02/00;00/01/00;Commercial;Pickup;Urban;1; 609.000 
TDF0000046917;18;F;12/07/00;00/01/00;Commercial;Van;Urban;5; 440.000 
TDF0000046918;48;M;23/05/00;00/01/00;Private;Van;Urban;1; 3.000 
SDF0000046919;53;M;05/06/00;00/01/00;Private;SUV;Rural;1; 681.000 
TDF0000046920;18;F;18/10/00;00/01/00;Private;Pickup;Urban;1; 716.000 
SDF0000046921;44;F;12/06/00;00/01/00;Private;Minivan;Urban;7; 209.000 
TDF0000046922;75;M;07/11/00;00/01/00;Commercial;Truck;Urban;1; 379.000 
GDF0000046923;47;F;12/09/00;00/01/00;Commercial;Van;Urban;7; 377.000 
GDF0000046924;76;M;30/05/00;00/01/00;Private;Minivan;Urban;1; 648.000 
ADF0000046925;57;M;14/04/00;00/01/00;Private;SUV;Urban;1; 211.000 
SDF0000046926;35;M;25/11/00;00/01/00;Commercial;Minivan;Rural;1; 172.000 
TDF0000046927;42;F;20/02/00;00/01/00;Private;Pickup;Urban;1; 550.000 
SDF0000046928;19;M;29/10/00;00/01/00;Private;Minivan;Urban;1; 645.000 
ADF0000046929;68;F;27/04/00;00/01/00;Private;SUV;Urban;1; 585.000 
KDF0000046930;72;M;21/02/00;00/01/00;Private;SUV;Rural;1; 92.000 
GDF0000046931;58;F;15/02/00;00/01/00;Commercial;Pickup;Urban;1; 459.000 
KDF0000046932;59;M;17/06/00;00/01/00;Commercial;Truck;Urban;1; 79.000 
KDF0000046933;21;F;15/01/00;00/01/00;Private;SUV;Urban;1; 379.000 
SDF0000046934;34;M;05/11/00;00/01/00;Private;Minivan;Urban;7; 375.000 
SDF0000046935;66;M;14/10/00;00/01/00;Private;SUV;Urban;7; 512.000 
GDF0000046936;55;F;20/07/00;00/01/00;Private;Sports Car;Rural;1; 84.000 
SDF0000046937;71;F;10/12/00;00/01/00;Private;Minivan;Urban;1; 118.000 
SDF0000046938;37;F;01/01/00;00/01/00;Private;Minivan;Urban;7; 689.000 
KDF0000046939;46;M;06/08/00;00/01/00;Private;SUV;Urban;1; 454.000 
TDF0000046940;63;M;12/12/00;00/01/00;Private;Minivan;Urban;1; 538.000 
GDF0000046941;28;F;13/02/00;00/01/00;Private;Minivan;Urban;8; 610.000 
TDF0000046942;71;M;17/07/00;00/01/00;Commercial;Pickup;Urban;1; 308.000 
GDF0000046943;57;M;30/07/00;00/01/00;Commercial;Pickup;Rural;1; 517.000 
SDF0000046944;40;M;26/06/00;00/01/00;Private;Minivan;Rural;1; 219.000 
KDF0000046945;38;M;30/07/00;00/01/00;Commercial;Pickup;Rural;1; 649.000 
TDF0000046946;38;M;05/10/00;00/01/00;Private;SUV;Rural;1; 88.000 
KDF0000046947;40;M;27/02/00;00/01/00;Private;SUV;Urban;1; 499.000 
TDF0000046948;18;M;05/03/00;00/01/00;Commercial;Truck;Urban;1; 543.000 
GDF0000046949;23;F;08/08/00;00/01/00;Commercial;Pickup;Urban;1; 174.000 
SDF0000046950;66;F;25/03/00;00/01/00;Private;Minivan;Urban;1; 373.000 
ADF0000046951;19;F;31/01/00;00/01/00;Private;Sports Car;Rural;1; 605.000 
GDF0000046952;42;F;05/02/00;00/01/00;Private;Minivan;Urban;8; 702.000 
TDF0000046953;77;M;21/01/00;00/01/00;Private;Sports Car;Urban;1; 702.000 
GDF0000046954;77;M;08/08/00;00/01/00;Private;Minivan;Rural;1; 143.000 
TDF0000046955;39;M;14/09/00;00/01/00;Private;SUV;Urban;1; 70.000 
GDF0000046956;54;F;24/12/00;00/01/00;Private;Sports Car;Urban;1; 495.000 
ADF0000046957;52;F;27/10/00;00/01/00;Commercial;Truck;Rural;8; 486.000 
GDF0000046958;31;F;31/03/00;00/01/00;Private;SUV;Urban;1; 86.000 
SDF0000046959;34;M;20/09/00;00/01/00;Private;SUV;Urban;1; 696.000 
KDF0000046960;43;F;16/05/00;00/01/00;Commercial;Pickup;Urban;1; 104.000 
GDF0000046961;62;F;30/10/00;00/01/00;Private;Sports Car;Urban;4; 86.000 
ADF0000046962;27;M;16/11/00;00/01/00;Commercial;SUV;Urban;8; 61.000 
GDF0000046963;34;F;14/03/00;00/01/00;Private;SUV;Rural;3; 596.000 
ADF0000046964;22;F;25/12/00;00/01/00;Private;SUV;Urban;1; 600.000 
TDF0000046965;60;F;05/12/00;00/01/00;Private;SUV;Urban;1; 266.000 
TDF0000046966;61;M;30/09/00;00/01/00;Private;Minivan;Urban;1; 552.000 
GDF0000046967;64;F;12/12/00;00/01/00;Commercial;Pickup;Urban;1; 402.000 
KDF0000046968;38;M;22/02/00;00/01/00;Commercial;Truck;Urban;3; 82.000 
SDF0000046969;33;F;13/10/00;00/01/00;Private;Pickup;Urban;1; 245.000 
KDF0000046970;36;M;05/02/00;00/01/00;Private;Minivan;Urban;1; 520.000 
KDF0000046971;51;F;10/05/00;00/01/00;Private;Sports Car;Rural;1; 512.000 
TDF0000046972;76;F;04/06/00;00/01/00;Commercial;Van;Urban;1; 382.000 
KDF0000046973;40;M;11/08/00;00/01/00;Commercial;Van;Urban;1; 578.000 
SDF0000046974;41;M;16/12/00;00/01/00;Private;SUV;Rural;1; 419.000 
TDF0000046975;46;M;30/03/00;00/01/00;Private;SUV;Urban;1; 508.000 
SDF0000046976;47;F;21/08/00;00/01/00;Private;Minivan;Urban;1; 280.000 
GDF0000046977;22;F;28/06/00;00/01/00;Commercial;Pickup;Urban;1; 500.000 
KDF0000046978;40;M;16/10/00;00/01/00;Private;Minivan;Urban;1; 286.000 
KDF0000046979;29;M;02/06/00;00/01/00;Private;SUV;Urban;3; 103.000 
